Aasta,Sugu,Elukoht,Amet,Aasta_label,Sugu_label,Elukoht_label,Amet_label,value
2021,1,1,51,2021,Mehed ja naised,Kogu Eesti,Sõjaväelased,3099
2021,1,L1,1,2021,Mehed ja naised,..Linnaline asustuspiirkond,Ametid kokku,399267
2021,1,L1,2,2021,Mehed ja naised,..Linnaline asustuspiirkond,Juhid,36578
2021,1,L1,3,2021,Mehed ja naised,..Linnaline asustuspiirkond,"..Seadusandjad, kõrgemad ametnikud ja tippjuhid",3115
2021,1,L1,4,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Äriteenindus- ja haldusjuhid,14008
2021,1,L1,5,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Põhitegevuse ja valdkondade juhid,13337
2021,1,L1,6,2021,Mehed ja naised,..Linnaline asustuspiirkond,"..Külalismajanduse, kaubandus- jm teenuste juhid",6118
2021,1,L1,7,2021,Mehed ja naised,..Linnaline asustuspiirkond,Tippspetsialistid,93168
2021,1,L1,8,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Loodus- ja tehnikateaduste tippspetsialistid,12776
2021,1,L1,9,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Tervishoiu tippspetsialistid,13992
2021,1,L1,10,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Pedagoogika tippspetsialistid,21383
2021,1,L1,11,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Äri ja halduse tippspetsialistid,18706
2021,1,L1,12,2021,Mehed ja naised,..Linnaline asustuspiirkond,..IKT tippspetsialistid,14685
2021,1,L1,13,2021,Mehed ja naised,..Linnaline asustuspiirkond,"..Õigus-, sotsiaal- ja kultuurivaldkonna tippspetsialistid",11626
2021,1,L1,14,2021,Mehed ja naised,..Linnaline asustuspiirkond,Tehnikud ja keskastme spetsialistid,50365
2021,1,L1,15,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Loodus- ja tehnikateaduste keskastme spetsialistid,10014
2021,1,L1,16,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Tervishoiu keskastme spetsialistid,3760
2021,1,L1,17,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Äri ja halduse keskastme spetsialistid,24745
2021,1,L1,18,2021,Mehed ja naised,..Linnaline asustuspiirkond,"..Õigus-, sotsiaal-, kultuuri- jms valdkonna keskastme spetsialistid",7624
2021,1,L1,19,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Infotehnoloogia ja telekommunikatsiooni tehnikud,4222
2021,1,L1,20,2021,Mehed ja naised,..Linnaline asustuspiirkond,Kontoritöötajad ja klienditeenindajad,35623
2021,1,L1,21,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Kontoritöötajad,5566
2021,1,L1,22,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Klienditeenindajad,11981
2021,1,L1,23,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Arvepidamise ja materjaliarvestuse kontoritöötajad,12686
2021,1,L1,24,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Muud kontoritöötajad ja klienditeenindajad,5390
2021,1,L1,25,2021,Mehed ja naised,..Linnaline asustuspiirkond,Teenindus- ja müügitöötajad,59766
2021,1,L1,26,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Isikuteenindajad,15767
2021,1,L1,27,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Müügitöötajad,29008
2021,1,L1,28,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Isikuhooldustöötajad,8881
2021,1,L1,29,2021,Mehed ja naised,..Linnaline asustuspiirkond,"..Pääste-, politsei- ja turvatöötajad",6110
2021,1,L1,30,2021,Mehed ja naised,..Linnaline asustuspiirkond,"Põllumajanduse, metsanduse, kalanduse ja jahinduse oskustöölised",1166
2021,1,L1,31,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Põllumajanduse oskustöölised,743
2021,1,L1,32,2021,Mehed ja naised,..Linnaline asustuspiirkond,"..Metsanduse, kalanduse ja jahinduse oskustöölised",420
2021,1,L1,33,2021,Mehed ja naised,..Linnaline asustuspiirkond,"..Oma tarbeks põllumajanduse, kalapüügi, jahi ning metsasaaduste korjamisega tegelejad",3
2021,1,L1,34,2021,Mehed ja naised,..Linnaline asustuspiirkond,Oskus- ja käsitöölised,48118
2021,1,L1,35,2021,Mehed ja naised,..Linnaline asustuspiirkond,"..Ehitustöölised, v.a elektrikud",15535
2021,1,L1,36,2021,Mehed ja naised,..Linnaline asustuspiirkond,"..Metallitöötluse, masinaehituse jms oskustöölised",14304
2021,1,L1,37,2021,Mehed ja naised,..Linnaline asustuspiirkond,"..Käsitöömeistrid, täppisinstrumentide valmistajad ja trükitöölised",2217
2021,1,L1,38,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Elektri- ja elektroonikavaldkonna töölised,5489
2021,1,L1,39,2021,Mehed ja naised,..Linnaline asustuspiirkond,"..Toiduaine-, puidu- ning rõivatööstuse jms oskus- ja käsitöölised",10573
2021,1,L1,40,2021,Mehed ja naised,..Linnaline asustuspiirkond,Seadme- ja masinaoperaatorid ning koostajad,33702
2021,1,L1,41,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Seadme- ja masinaoperaatorid,9347
2021,1,L1,42,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Koostajad,6081
2021,1,L1,43,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Mootorsõidukite ja liikurmasinate juhid,18274
2021,1,L1,44,2021,Mehed ja naised,..Linnaline asustuspiirkond,Lihttöölised,39166
2021,1,L1,45,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Puhastustöölised ja abilised,14526
2021,1,L1,46,2021,Mehed ja naised,..Linnaline asustuspiirkond,"..Põllumajanduse, metsanduse ja kalanduse lihttöölised",867
2021,1,L1,47,2021,Mehed ja naised,..Linnaline asustuspiirkond,"..Mäetööstuse, ehituse, töötleva tööstuse ja veonduse lihttöölised",13080
2021,1,L1,48,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Toitlustuse abitöölised,3354
2021,1,L1,49,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Tänaval jms kohtades teenuse osutajad,188
2021,1,L1,50,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Jäätmekäitluse jm lihttöölised,7151
2021,1,L1,51,2021,Mehed ja naised,..Linnaline asustuspiirkond,Sõjaväelased,1615
2021,1,V1,1,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,Ametid kokku,60896
2021,1,V1,2,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,Juhid,7881
2021,1,V1,3,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,"..Seadusandjad, kõrgemad ametnikud ja tippjuhid",707
2021,1,V1,4,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,..Äriteenindus- ja haldusjuhid,2852
2021,1,V1,5,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,..Põhitegevuse ja valdkondade juhid,3175
2021,1,V1,6,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,"..Külalismajanduse, kaubandus- jm teenuste juhid",1147
2021,1,V1,7,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,Tippspetsialistid,13896
2021,1,V1,8,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,..Loodus- ja tehnikateaduste tippspetsialistid,1981
2021,1,V1,9,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,..Tervishoiu tippspetsialistid,1962
2021,1,V1,10,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,..Pedagoogika tippspetsialistid,3290
2021,1,V1,11,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,..Äri ja halduse tippspetsialistid,3213
2021,1,V1,12,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,..IKT tippspetsialistid,1901
2021,1,V1,13,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,"..Õigus-, sotsiaal- ja kultuurivaldkonna tippspetsialistid",1549
2021,1,V1,14,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,Tehnikud ja keskastme spetsialistid,8855
2021,1,V1,15,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,..Loodus- ja tehnikateaduste keskastme spetsialistid,1703
2021,1,V1,16,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,..Tervishoiu keskastme spetsialistid,574
2021,1,V1,17,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,..Äri ja halduse keskastme spetsialistid,4825
2021,1,V1,18,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,"..Õigus-, sotsiaal-, kultuuri- jms valdkonna keskastme spetsialistid",1189
