scenario,taxonomy,code,location_code,location_name,code_label,employed,source
2021_census,isco2,25,L1,..Linnaline asustuspiirkond,..IKT tippspetsialistid,14685,rl21154_census2021
2021_census,isco2,26,L1,..Linnaline asustuspiirkond,"..Õigus-, sotsiaal- ja kultuurivaldkonna tippspetsialistid",11626,rl21154_census2021
2021_census,isco2,31,L1,..Linnaline asustuspiirkond,..Loodus- ja tehnikateaduste keskastme spetsialistid,10014,rl21154_census2021
2021_census,isco2,32,L1,..Linnaline asustuspiirkond,..Tervishoiu keskastme spetsialistid,3760,rl21154_census2021
2021_census,isco2,33,L1,..Linnaline asustuspiirkond,..Äri ja halduse keskastme spetsialistid,24745,rl21154_census2021
2021_census,isco2,34,L1,..Linnaline asustuspiirkond,"..Õigus-, sotsiaal-, kultuuri- jms valdkonna keskastme spetsialistid",7624,rl21154_census2021
2021_census,isco2,35,L1,..Linnaline asustuspiirkond,..Infotehnoloogia ja telekommunikatsiooni tehnikud,4222,rl21154_census2021
2021_census,isco2,41,L1,..Linnaline asustuspiirkond,..Kontoritöötajad,5566,rl21154_census2021
2021_census,isco2,42,L1,..Linnaline asustuspiirkond,..Klienditeenindajad,11981,rl21154_census2021
2021_census,isco2,43,L1,..Linnaline asustuspiirkond,..Arvepidamise ja materjaliarvestuse kontoritöötajad,12686,rl21154_census2021
2021_census,isco2,44,L1,..Linnaline asustuspiirkond,..Muud kontoritöötajad ja klienditeenindajad,5390,rl21154_census2021
2021_census,isco2,51,L1,..Linnaline asustuspiirkond,..Isikuteenindajad,15767,rl21154_census2021
2021_census,isco2,52,L1,..Linnaline asustuspiirkond,..Müügitöötajad,29008,rl21154_census2021
2021_census,isco2,53,L1,..Linnaline asustuspiirkond,..Isikuhooldustöötajad,8881,rl21154_census2021
2021_census,isco2,54,L1,..Linnaline asustuspiirkond,"..Pääste-, politsei- ja turvatöötajad",6110,rl21154_census2021
2021_census,isco2,61,L1,..Linnaline asustuspiirkond,..Põllumajanduse oskustöölised,743,rl21154_census2021
2021_census,isco2,62,L1,..Linnaline asustuspiirkond,"..Metsanduse, kalanduse ja jahinduse oskustöölised",420,rl21154_census2021
2021_census,isco2,63,L1,..Linnaline asustuspiirkond,"..Oma tarbeks põllumajanduse, kalapüügi, jahi ning metsasaaduste korjamisega tegelejad",3,rl21154_census2021
2021_census,isco2,71,L1,..Linnaline asustuspiirkond,"..Ehitustöölised, v.a elektrikud",15535,rl21154_census2021
2021_census,isco2,72,L1,..Linnaline asustuspiirkond,"..Metallitöötluse, masinaehituse jms oskustöölised",14304,rl21154_census2021
2021_census,isco2,73,L1,..Linnaline asustuspiirkond,"..Käsitöömeistrid, täppisinstrumentide valmistajad ja trükitöölised",2217,rl21154_census2021
2021_census,isco2,74,L1,..Linnaline asustuspiirkond,..Elektri- ja elektroonikavaldkonna töölised,5489,rl21154_census2021
2021_census,isco2,75,L1,..Linnaline asustuspiirkond,"..Toiduaine-, puidu- ning rõivatööstuse jms oskus- ja käsitöölised",10573,rl21154_census2021
2021_census,isco2,81,L1,..Linnaline asustuspiirkond,..Seadme- ja masinaoperaatorid,9347,rl21154_census2021
2021_census,isco2,82,L1,..Linnaline asustuspiirkond,..Koostajad,6081,rl21154_census2021
2021_census,isco2,83,L1,..Linnaline asustuspiirkond,..Mootorsõidukite ja liikurmasinate juhid,18274,rl21154_census2021
2021_census,isco2,91,L1,..Linnaline asustuspiirkond,..Puhastustöölised ja abilised,14526,rl21154_census2021
2021_census,isco2,92,L1,..Linnaline asustuspiirkond,"..Põllumajanduse, metsanduse ja kalanduse lihttöölised",867,rl21154_census2021
2021_census,isco2,93,L1,..Linnaline asustuspiirkond,"..Mäetööstuse, ehituse, töötleva tööstuse ja veonduse lihttöölised",13080,rl21154_census2021
2021_census,isco2,94,L1,..Linnaline asustuspiirkond,..Toitlustuse abitöölised,3354,rl21154_census2021
2021_census,isco2,95,L1,..Linnaline asustuspiirkond,..Tänaval jms kohtades teenuse osutajad,188,rl21154_census2021
2021_census,isco2,96,L1,..Linnaline asustuspiirkond,..Jäätmekäitluse jm lihttöölised,7151,rl21154_census2021
2021_census,isco2,11,V1,..Väikelinnaline asustuspiirkond,"..Seadusandjad, kõrgemad ametnikud ja tippjuhid",707,rl21154_census2021
2021_census,isco2,12,V1,..Väikelinnaline asustuspiirkond,..Äriteenindus- ja haldusjuhid,2852,rl21154_census2021
2021_census,isco2,13,V1,..Väikelinnaline asustuspiirkond,..Põhitegevuse ja valdkondade juhid,3175,rl21154_census2021
2021_census,isco2,14,V1,..Väikelinnaline asustuspiirkond,"..Külalismajanduse, kaubandus- jm teenuste juhid",1147,rl21154_census2021
2021_census,isco2,21,V1,..Väikelinnaline asustuspiirkond,..Loodus- ja tehnikateaduste tippspetsialistid,1981,rl21154_census2021
2021_census,isco2,22,V1,..Väikelinnaline asustuspiirkond,..Tervishoiu tippspetsialistid,1962,rl21154_census2021
2021_census,isco2,23,V1,..Väikelinnaline asustuspiirkond,..Pedagoogika tippspetsialistid,3290,rl21154_census2021
2021_census,isco2,24,V1,..Väikelinnaline asustuspiirkond,..Äri ja halduse tippspetsialistid,3213,rl21154_census2021
2021_census,isco2,25,V1,..Väikelinnaline asustuspiirkond,..IKT tippspetsialistid,1901,rl21154_census2021
2021_census,isco2,26,V1,..Väikelinnaline asustuspiirkond,"..Õigus-, sotsiaal- ja kultuurivaldkonna tippspetsialistid",1549,rl21154_census2021
2021_census,isco2,31,V1,..Väikelinnaline asustuspiirkond,..Loodus- ja tehnikateaduste keskastme spetsialistid,1703,rl21154_census2021
2021_census,isco2,32,V1,..Väikelinnaline asustuspiirkond,..Tervishoiu keskastme spetsialistid,574,rl21154_census2021
2021_census,isco2,33,V1,..Väikelinnaline asustuspiirkond,..Äri ja halduse keskastme spetsialistid,4825,rl21154_census2021
2021_census,isco2,34,V1,..Väikelinnaline asustuspiirkond,"..Õigus-, sotsiaal-, kultuuri- jms valdkonna keskastme spetsialistid",1189,rl21154_census2021
2021_census,isco2,35,V1,..Väikelinnaline asustuspiirkond,..Infotehnoloogia ja telekommunikatsiooni tehnikud,564,rl21154_census2021
2021_census,isco2,41,V1,..Väikelinnaline asustuspiirkond,..Kontoritöötajad,898,rl21154_census2021
2021_census,isco2,42,V1,..Väikelinnaline asustuspiirkond,..Klienditeenindajad,1462,rl21154_census2021
2021_census,isco2,43,V1,..Väikelinnaline asustuspiirkond,..Arvepidamise ja materjaliarvestuse kontoritöötajad,2240,rl21154_census2021
2021_census,isco2,44,V1,..Väikelinnaline asustuspiirkond,..Muud kontoritöötajad ja klienditeenindajad,778,rl21154_census2021
2021_census,isco2,51,V1,..Väikelinnaline asustuspiirkond,..Isikuteenindajad,2060,rl21154_census2021
2021_census,isco2,52,V1,..Väikelinnaline asustuspiirkond,..Müügitöötajad,3928,rl21154_census2021
2021_census,isco2,53,V1,..Väikelinnaline asustuspiirkond,..Isikuhooldustöötajad,1408,rl21154_census2021
