model,scenario,location_name,total_employed,exposure_avg,opportunity_avg,risk_avg,exposure_weighted,opportunity_weighted,risk_weighted
demirev_ai_products,2025q4_palgad_isco4,HARJU MAAKOND,317293,0.2287331255338126,0.10157645184684187,0.12715667368697073,72575.4196,32229.49713584,40345.92246416
demirev_ai_products,2025q4_palgad_isco4,TARTU MAAKOND,74086,0.19315361606781306,0.08345563933374726,0.10969797673406582,14309.978799999999,6182.89449568,8127.08430432
demirev_ai_products,2025q4_palgad_isco4,IDA-VIRU MAAKOND,32496,0.18862307360905958,0.0777308407739414,0.11089223283511816,6129.4954,2525.94140179,3603.55399821
demirev_ai_products,2025q4_palgad_isco4,PÄRNU MAAKOND,26265,0.18024283266704738,0.07372731910793832,0.10651551355910908,4734.0779999999995,1936.44803637,2797.62996363
demirev_ai_products,2025q4_palgad_isco4,LÄÄNE-VIRU MAAKOND,15819,0.16137997977116128,0.06769959372084203,0.09368038605031924,2552.8699,1070.93987307,1481.93002693
demirev_ai_products,2025q4_palgad_isco4,VILJANDI MAAKOND,13206,0.1658146448583977,0.06829160649023171,0.09752303836816598,2189.7482,901.8589553099999,1287.88924469
demirev_ai_products,2025q4_palgad_isco4,VÕRU MAAKOND,8208,0.15793512426900586,0.06559240829434697,0.09234271597465887,1296.3315,538.38248728,757.94901272
demirev_ai_products,2025q4_palgad_isco4,SAARE MAAKOND,7245,0.17516205659075224,0.07074550893305727,0.10441654765769495,1269.0491,512.5512122199999,756.4978877799999
demirev_ai_products,2025q4_palgad_isco4,RAPLA MAAKOND,6723,0.15127997917596311,0.06189147733601071,0.0893885018399524,1017.0553,416.09640213,600.95889787
demirev_ai_products,2025q4_palgad_isco4,JÄRVA MAAKOND,6434,0.15169090767796084,0.06579789203294995,0.08589301564501088,975.9793,423.34363734,552.63566266
demirev_ai_products,2025q4_palgad_isco4,JÕGEVA MAAKOND,4911,0.13211457951537364,0.05188422152514763,0.08023035799022603,648.8147,254.80341191,394.01128809
demirev_ai_products,2025q4_palgad_isco4,VALGA MAAKOND,4703,0.13943459493940039,0.05475613076546885,0.08467846417393153,655.7609,257.51808299,398.24281701
demirev_ai_products,2025q4_palgad_isco4,PÕLVA MAAKOND,4181,0.1281705812006697,0.052144106723271945,0.07602647447739776,535.8812,218.01451021,317.86668979
demirev_ai_products,2025q4_palgad_isco4,LÄÄNE MAAKOND,3741,0.18195741780272653,0.07510988652499331,0.10684753127773322,680.7026999999999,280.98608549,399.71661451
demirev_ai_products,2025q4_palgad_isco4,HIIU MAAKOND,926,0.17813941684665227,0.07023033205183585,0.10790908479481641,164.9571,65.03328748,99.92381252
