model,scenario,location_name,total_employed,exposure_avg,opportunity_avg,risk_avg,exposure_weighted,opportunity_weighted,risk_weighted
felten_aei_isco4,2021_census,HARJU MAAKOND,312346,0.6394139521028215,0.10439763565463404,0.5350163164481875,199718.39028350788,32608.183906182323,167110.20637732555
felten_aei_isco4,2021_census,TARTU MAAKOND,77229,0.6132811451734838,0.11078235889279309,0.5024987862806907,47363.08956060297,8555.610794931517,38807.47876567146
felten_aei_isco4,2021_census,IDA-VIRU MAAKOND,55459,0.5266594821776068,0.09231956895093078,0.43433991322667603,29208.008222087898,5119.95097444967,24088.057247638226
felten_aei_isco4,2021_census,PÄRNU MAAKOND,39370,0.5499003502461641,0.0944127123531689,0.4554876378929952,21649.57678919148,3717.02848534426,17932.54830384722
felten_aei_isco4,2021_census,LÄÄNE-VIRU MAAKOND,26707,0.5357262039077096,0.09351967818900538,0.4422065257187043,14307.6397277632,2497.6300453937665,11810.009682369435
felten_aei_isco4,2021_census,VILJANDI MAAKOND,20644,0.5361459549258606,0.09513477541660123,0.44101117950925944,11068.197093489467,1963.9623037003157,9104.234789789152
felten_aei_isco4,2021_census,RAPLA MAAKOND,16020,0.5500682327166522,0.09484786043768913,0.45522037227896306,8812.093088120768,1519.46272421178,7292.630363908988
felten_aei_isco4,2021_census,VÕRU MAAKOND,15141,0.5315687143557277,0.095394638916585,0.43617407543914277,8048.481904060074,1444.3702278360136,6604.111676224061
felten_aei_isco4,2021_census,SAARE MAAKOND,14813,0.5464585514352396,0.09642074093091721,0.4500378105043224,8094.690522410205,1428.2804354096766,6666.410087000528
felten_aei_isco4,2021_census,JÄRVA MAAKOND,13455,0.5311944608386006,0.09431215662793006,0.4368823042106706,7147.221470583371,1268.970067428799,5878.2514031545725
felten_aei_isco4,2021_census,JÕGEVA MAAKOND,12168,0.5273826218171807,0.09494056549693668,0.432442056320244,6417.191742271454,1155.2368009667255,5261.954941304729
felten_aei_isco4,2021_census,VALGA MAAKOND,11746,0.523367993182195,0.0921263269989836,0.4312416661832114,6147.480447918062,1082.1158369300613,5065.364610988001
felten_aei_isco4,2021_census,PÕLVA MAAKOND,10638,0.5277619998210038,0.09457053154170005,0.4331914682793038,5614.332154095839,1006.0413145406051,4608.290839555234
felten_aei_isco4,2021_census,LÄÄNE MAAKOND,9371,0.5508823846618776,0.09821002755835069,0.4526723571035268,5162.318826666455,920.3261682493044,4241.99265841715
felten_aei_isco4,2021_census,HIIU MAAKOND,4185,0.555939803735644,0.09848557814724612,0.45745422558839793,2326.60807863367,412.162144546225,1914.4459340874453
