isco4_code,isco4_label,isco2_code,isco2_label,employment_estonia,felten_aei_isco4_exposure,ilo_wp140_exposure,demirev_ai_products_exposure,felten_aei_isco4_z,ilo_wp140_z,demirev_ai_products_z,felten_aei_isco4_quintile,ilo_wp140_quintile,demirev_ai_products_quintile,ensemble_z_mean,ensemble_z_sd,n_models,top_quintile_count,bottom_quintile_count,tier_label_quintile,tier_label_ensemble,tootukassa_balance_national,tootukassa_demand_national,notes
1343,Aged care services managers,13,Production & specialized services mgrs,124,0.8519,0.0,0.0638,0.9778744526360335,-0.6854777735548961,-0.7408207481984938,4,2,2,-0.14947468970578548,0.7974763435424387,3,0,0,Mixed,Mixed,,,
1344,Social welfare managers,13,Production & specialized services mgrs,213,0.9187,0.0,0.075,1.230496152152808,-0.6854777735548961,-0.6728324286155742,5,2,2,-0.042604683339220815,0.9002330361949009,3,1,0,Contested High,Mixed,,,
1345,Education managers,13,Production & specialized services mgrs,1939,0.8623,0.0,0.0313,1.017204777111699,-0.6854777735548961,-0.9381082827025014,4,2,1,-0.20212709304856616,0.8683444787753464,3,0,1,Mixed,Mixed,3.0,3.0,
1346,Financial and insurance services branch managers,13,Production & specialized services mgrs,479,0.8779,0.33,0.3631,1.0762002638251973,0.42718628397080827,1.0760456849414892,4,4,5,0.8598107442458316,0.3059116960767701,3,1,0,Contested High,Contested High,3.0,3.0,
1349,Professional services managers not elsewhere classified,13,Production & specialized services mgrs,1525,0.8651,0.0,0.1965,1.0277937106243782,-0.6854777735548961,0.06471943114556164,4,2,4,0.13567845607168125,0.7012375641389598,3,0,0,Mixed,Mixed,3.0,3.0,
1411,Hotel managers,14,"Hospitality, retail & other svc mgrs",340,0.7075,0.33,0.254,0.4317880243392933,0.42718628397080827,0.41376660757572875,4,4,4,0.42424697196194344,0.007645152357566814,3,0,0,Mixed,Mixed,,,
1412,Restaurant managers,14,"Hospitality, retail & other svc mgrs",1096,0.5608,0.33,0.0532,-0.12299645648571939,0.42718628397080827,-0.8051668363751855,3,4,2,-0.16699233629669888,0.5040669805934416,3,0,0,Mixed,Mixed,3.0,3.0,
1420,Retail and wholesale trade managers,14,"Hospitality, retail & other svc mgrs",4560,0.7559,0.33,0.2701,0.6148253036298904,0.42718628397080827,0.5114998169761756,4,4,4,0.5178371348589582,0.07673426710892568,3,0,0,Mixed,Contested High,3.0,3.0,
1431,"Sports, recreation and cultural centre managers",14,"Hospitality, retail & other svc mgrs",650,0.8462,0.0,0.0817,0.9563184094137936,-0.6854777735548961,-0.6321608445793635,4,2,2,-0.12044006957348867,0.7616942913803411,3,0,0,Mixed,Mixed,,,
1439,Services managers not elsewhere classified,14,"Hospitality, retail & other svc mgrs",1685,0.8651,0.0,0.2703,1.0277937106243782,-0.6854777735548961,0.5127138941115847,4,2,4,0.28500994372702226,0.7177332890849334,3,0,0,Mixed,Mixed,3.0,3.0,
2111,Physicists and astronomers,21,Science & engineering professionals,207,0.9758,0.66,0.0621,1.446434760572087,1.5398503414965126,-0.7511404038494726,5,5,2,0.745048232739709,1.058652270541436,3,2,0,Contested High,Contested High,,,
2112,Meteorologists,21,Science & engineering professionals,0,0.9797,0.33,0.2858,1.4611836322504617,0.42718628397080827,0.6068048721058038,5,4,4,0.831724929442358,0.45109452313718595,3,1,0,Contested High,Contested High,,,|no_employment_signal
2113,Chemists,21,Science & engineering professionals,425,0.8097,0.0,0.135,0.818284097552083,-0.6854777735548961,-0.3086092879927911,4,2,3,-0.05860098799853475,0.6388547324696512,3,0,0,Mixed,Mixed,,,
2114,Geologists and geophysicists,21,Science & engineering professionals,135,0.7846,0.0,0.1166,0.7233618721348518,-0.6854777735548961,-0.42030438445044466,4,2,2,-0.12747342862349634,0.6112935810419827,3,0,0,Mixed,Mixed,,,
2120,"Mathematicians, actuaries and statisticians",21,Science & engineering professionals,900,0.9981,0.33,0.188,1.530768052476639,0.42718628397080827,0.013121152890667313,5,4,3,0.6570251631127049,0.6405375142433791,3,1,0,Contested High,Contested High,3.0,3.0,
2131,"Biologists, botanists, zoologists and related professionals",21,Science & engineering professionals,802,0.8474,0.66,0.0909,0.9608565237763708,1.5398503414965126,-0.5763132963505367,4,5,2,0.6414645229741155,0.8929522470131929,3,1,0,Contested High,Contested High,,,
2132,"Farming, forestry and fisheries advisers",21,Science & engineering professionals,499,0.717,0.0,0.0703,0.46771476304302606,-0.6854777735548961,-0.7013632412976922,4,2,2,-0.3063754172698541,0.5474028330604878,3,0,0,Mixed,Mixed,,,
2133,Environmental protection professionals,21,Science & engineering professionals,704,0.7465,0.0,0.089,0.5792767411230391,-0.6854777735548961,-0.5878470291369249,4,2,2,-0.23134935385626065,0.5745832924592357,3,0,0,Mixed,Mixed,,,
2141,Industrial and production engineers,21,Science & engineering professionals,2903,0.9136,0.0,0.1445,1.2112091661118567,-0.6854777735548961,-0.2509406240608505,5,2,3,0.09159692283203669,0.811317576558508,3,1,0,Contested High,Mixed,4.0,3.0,
2142,Civil engineers,21,Science & engineering professionals,1929,0.9542,0.0,0.0736,1.364748702045705,-0.6854777735548961,-0.6813309685634392,5,2,2,-0.000686680024210129,0.9655101021236462,3,1,0,Contested High,Mixed,4.0,2.0,
2143,Environmental engineers,21,Science & engineering professionals,159,0.9712,0.0,0.2552,1.4290386555155425,-0.6854777735548961,0.4210510703881843,5,2,4,0.38820398411627693,0.8635601235619963,3,1,0,Contested High,Mixed,,,
2144,Mechanical engineers,21,Science & engineering professionals,1160,0.8632,0.0,0.1774,1.0206083628836315,-0.6854777735548961,-0.05122493528602436,4,2,3,0.09463521801423702,0.7041017277247739,3,0,0,Mixed,Mixed,,,
2145,Chemical engineers,21,Science & engineering professionals,276,0.9706,0.0,0.1369,1.4267695983342543,-0.6854777735548961,-0.297075555206403,5,2,3,0.14807208985765172,0.9179740589808665,3,1,0,Contested High,Mixed,,,
2146,"Mining engineers, metallurgists and related professionals",21,Science & engineering professionals,44,0.9215,0.0,0.2504,1.2410850856654874,-0.6854777735548961,0.3919132191383618,5,2,4,0.31584017708298434,0.7883533232536133,3,1,0,Contested High,Mixed,,,
2149,Engineering professionals not elsewhere classified,21,Science & engineering professionals,644,0.8811,0.0,0.1708,1.0883019021254021,-0.6854777735548961,-0.09128948075453047,4,2,3,0.10384488260532516,0.7371710110447092,3,0,0,Mixed,Mixed,,,
2151,Electrical engineers,21,Science & engineering professionals,1391,0.9105,0.0,0.1525,1.1994857040085334,-0.6854777735548961,-0.20237753864447938,5,2,3,0.10387679726971928,0.7994229654931069,3,1,0,Contested High,Mixed,,,
