isco4,name_et,county,county_name,gender,count,source_url
2261,Hambaarstid,all,Kogu Eesti,M,352,https://palgad.stat.ee/api/charts/workers_total_section/2261/2025/Q4/average/all/all/all
2261,Hambaarstid,all,Kogu Eesti,F,1200,https://palgad.stat.ee/api/charts/workers_total_section/2261/2025/Q4/average/all/all/all
2262,Proviisorid ja farmatseudid,all,Kogu Eesti,M,106,https://palgad.stat.ee/api/charts/workers_total_section/2262/2025/Q4/average/all/all/all
2262,Proviisorid ja farmatseudid,all,Kogu Eesti,F,1446,https://palgad.stat.ee/api/charts/workers_total_section/2262/2025/Q4/average/all/all/all
2263,Töötervishoiu ja tööohutuse tippspetsialistid,all,Kogu Eesti,M,75,https://palgad.stat.ee/api/charts/workers_total_section/2263/2025/Q4/average/all/all/all
2263,Töötervishoiu ja tööohutuse tippspetsialistid,all,Kogu Eesti,F,132,https://palgad.stat.ee/api/charts/workers_total_section/2263/2025/Q4/average/all/all/all
2264,Füsioterapeudid,all,Kogu Eesti,M,172,https://palgad.stat.ee/api/charts/workers_total_section/2264/2025/Q4/average/all/all/all
2264,Füsioterapeudid,all,Kogu Eesti,F,709,https://palgad.stat.ee/api/charts/workers_total_section/2264/2025/Q4/average/all/all/all
2265,Dieedi ja toitumise tippspetsialistid,all,Kogu Eesti,all,,https://palgad.stat.ee/api/charts/workers_total_section/2265/2025/Q4/average/all/all/all
2266,Audioloogid ja logopeedid,all,Kogu Eesti,F,749,https://palgad.stat.ee/api/charts/workers_total_section/2266/2025/Q4/average/all/all/all
2267,Optomeetria tippspetsialistid,all,Kogu Eesti,all,,https://palgad.stat.ee/api/charts/workers_total_section/2267/2025/Q4/average/all/all/all
2269,"Tervishoiu tippspetsialistid, mujal liigitamata",all,Kogu Eesti,M,93,https://palgad.stat.ee/api/charts/workers_total_section/2269/2025/Q4/average/all/all/all
2269,"Tervishoiu tippspetsialistid, mujal liigitamata",all,Kogu Eesti,F,814,https://palgad.stat.ee/api/charts/workers_total_section/2269/2025/Q4/average/all/all/all
2310,Ülikoolide ja kõrgkoolide õppejõud,all,Kogu Eesti,M,2280,https://palgad.stat.ee/api/charts/workers_total_section/2310/2025/Q4/average/all/all/all
2310,Ülikoolide ja kõrgkoolide õppejõud,all,Kogu Eesti,F,2423,https://palgad.stat.ee/api/charts/workers_total_section/2310/2025/Q4/average/all/all/all
2320,Kutseõpetajad,all,Kogu Eesti,M,752,https://palgad.stat.ee/api/charts/workers_total_section/2320/2025/Q4/average/all/all/all
2320,Kutseõpetajad,all,Kogu Eesti,F,902,https://palgad.stat.ee/api/charts/workers_total_section/2320/2025/Q4/average/all/all/all
2330,Gümnaasiumiõpetajad,all,Kogu Eesti,M,1118,https://palgad.stat.ee/api/charts/workers_total_section/2330/2025/Q4/average/all/all/all
2330,Gümnaasiumiõpetajad,all,Kogu Eesti,F,4406,https://palgad.stat.ee/api/charts/workers_total_section/2330/2025/Q4/average/all/all/all
2341,Põhikooli (1.–9. klass) õpetajad,all,Kogu Eesti,M,1653,https://palgad.stat.ee/api/charts/workers_total_section/2341/2025/Q4/average/all/all/all
2341,Põhikooli (1.–9. klass) õpetajad,all,Kogu Eesti,F,9373,https://palgad.stat.ee/api/charts/workers_total_section/2341/2025/Q4/average/all/all/all
2342,Koolieelse lasteasutuse õpetajad,all,Kogu Eesti,M,100,https://palgad.stat.ee/api/charts/workers_total_section/2342/2025/Q4/average/all/all/all
2342,Koolieelse lasteasutuse õpetajad,all,Kogu Eesti,F,6909,https://palgad.stat.ee/api/charts/workers_total_section/2342/2025/Q4/average/all/all/all
2351,Õppemetoodika tippspetsialistid,all,Kogu Eesti,M,66,https://palgad.stat.ee/api/charts/workers_total_section/2351/2025/Q4/average/all/all/all
2351,Õppemetoodika tippspetsialistid,all,Kogu Eesti,F,427,https://palgad.stat.ee/api/charts/workers_total_section/2351/2025/Q4/average/all/all/all
2352,Eripedagoogid,all,Kogu Eesti,M,107,https://palgad.stat.ee/api/charts/workers_total_section/2352/2025/Q4/average/all/all/all
2352,Eripedagoogid,all,Kogu Eesti,F,1683,https://palgad.stat.ee/api/charts/workers_total_section/2352/2025/Q4/average/all/all/all
2353,Huvikoolide ja eratundide keeleõpetajad,all,Kogu Eesti,M,22,https://palgad.stat.ee/api/charts/workers_total_section/2353/2025/Q4/average/all/all/all
2353,Huvikoolide ja eratundide keeleõpetajad,all,Kogu Eesti,F,225,https://palgad.stat.ee/api/charts/workers_total_section/2353/2025/Q4/average/all/all/all
2354,Huvikoolide ja eratundide muusikaõpetajad,all,Kogu Eesti,M,589,https://palgad.stat.ee/api/charts/workers_total_section/2354/2025/Q4/average/all/all/all
2354,Huvikoolide ja eratundide muusikaõpetajad,all,Kogu Eesti,F,1210,https://palgad.stat.ee/api/charts/workers_total_section/2354/2025/Q4/average/all/all/all
2355,Huvikoolide ja eratundide kunstiõpetajad,all,Kogu Eesti,M,83,https://palgad.stat.ee/api/charts/workers_total_section/2355/2025/Q4/average/all/all/all
2355,Huvikoolide ja eratundide kunstiõpetajad,all,Kogu Eesti,F,453,https://palgad.stat.ee/api/charts/workers_total_section/2355/2025/Q4/average/all/all/all
2356,Infotehnoloogia erakoolitajad,all,Kogu Eesti,M,28,https://palgad.stat.ee/api/charts/workers_total_section/2356/2025/Q4/average/all/all/all
2356,Infotehnoloogia erakoolitajad,all,Kogu Eesti,F,38,https://palgad.stat.ee/api/charts/workers_total_section/2356/2025/Q4/average/all/all/all
2359,"Pedagoogika tippspetsialistid, mujal liigitamata",all,Kogu Eesti,M,503,https://palgad.stat.ee/api/charts/workers_total_section/2359/2025/Q4/average/all/all/all
2359,"Pedagoogika tippspetsialistid, mujal liigitamata",all,Kogu Eesti,F,2166,https://palgad.stat.ee/api/charts/workers_total_section/2359/2025/Q4/average/all/all/all
2411,Raamatupidamise tippspetsialistid,all,Kogu Eesti,M,555,https://palgad.stat.ee/api/charts/workers_total_section/2411/2025/Q4/average/all/all/all
2411,Raamatupidamise tippspetsialistid,all,Kogu Eesti,F,6736,https://palgad.stat.ee/api/charts/workers_total_section/2411/2025/Q4/average/all/all/all
2412,Finants- ja investeerimisnõustajad,all,Kogu Eesti,M,309,https://palgad.stat.ee/api/charts/workers_total_section/2412/2025/Q4/average/all/all/all
2412,Finants- ja investeerimisnõustajad,all,Kogu Eesti,F,342,https://palgad.stat.ee/api/charts/workers_total_section/2412/2025/Q4/average/all/all/all
2413,Finantsanalüütikud,all,Kogu Eesti,M,735,https://palgad.stat.ee/api/charts/workers_total_section/2413/2025/Q4/average/all/all/all
2413,Finantsanalüütikud,all,Kogu Eesti,F,1041,https://palgad.stat.ee/api/charts/workers_total_section/2413/2025/Q4/average/all/all/all
2421,Juhtimis- ja organisatsioonianalüütikud,all,Kogu Eesti,M,2063,https://palgad.stat.ee/api/charts/workers_total_section/2421/2025/Q4/average/all/all/all
2421,Juhtimis- ja organisatsioonianalüütikud,all,Kogu Eesti,F,2601,https://palgad.stat.ee/api/charts/workers_total_section/2421/2025/Q4/average/all/all/all
2422,Strateegiate väljatöötajad,all,Kogu Eesti,M,997,https://palgad.stat.ee/api/charts/workers_total_section/2422/2025/Q4/average/all/all/all
2422,Strateegiate väljatöötajad,all,Kogu Eesti,F,2048,https://palgad.stat.ee/api/charts/workers_total_section/2422/2025/Q4/average/all/all/all
2423,Personali ja karjääri tippspetsialistid,all,Kogu Eesti,M,83,https://palgad.stat.ee/api/charts/workers_total_section/2423/2025/Q4/average/all/all/all
2423,Personali ja karjääri tippspetsialistid,all,Kogu Eesti,F,1158,https://palgad.stat.ee/api/charts/workers_total_section/2423/2025/Q4/average/all/all/all
2424,Töötajate koolituse ja täiendõppe tippspetsialistid,all,Kogu Eesti,M,163,https://palgad.stat.ee/api/charts/workers_total_section/2424/2025/Q4/average/all/all/all
2424,Töötajate koolituse ja täiendõppe tippspetsialistid,all,Kogu Eesti,F,546,https://palgad.stat.ee/api/charts/workers_total_section/2424/2025/Q4/average/all/all/all
2431,Reklaami ja turunduse tippspetsialistid,all,Kogu Eesti,M,1489,https://palgad.stat.ee/api/charts/workers_total_section/2431/2025/Q4/average/all/all/all
2431,Reklaami ja turunduse tippspetsialistid,all,Kogu Eesti,F,2480,https://palgad.stat.ee/api/charts/workers_total_section/2431/2025/Q4/average/all/all/all
2432,Avalike suhete tippspetsialistid,all,Kogu Eesti,M,266,https://palgad.stat.ee/api/charts/workers_total_section/2432/2025/Q4/average/all/all/all
2432,Avalike suhete tippspetsialistid,all,Kogu Eesti,F,919,https://palgad.stat.ee/api/charts/workers_total_section/2432/2025/Q4/average/all/all/all
2433,Tehnika- (v.a IKT) ja meditsiinitoodete müügi tippspetsialistid,all,Kogu Eesti,M,641,https://palgad.stat.ee/api/charts/workers_total_section/2433/2025/Q4/average/all/all/all
2433,Tehnika- (v.a IKT) ja meditsiinitoodete müügi tippspetsialistid,all,Kogu Eesti,F,368,https://palgad.stat.ee/api/charts/workers_total_section/2433/2025/Q4/average/all/all/all
2434,IKT-lahenduste müügi tippspetsialistid,all,Kogu Eesti,M,361,https://palgad.stat.ee/api/charts/workers_total_section/2434/2025/Q4/average/all/all/all
2434,IKT-lahenduste müügi tippspetsialistid,all,Kogu Eesti,F,238,https://palgad.stat.ee/api/charts/workers_total_section/2434/2025/Q4/average/all/all/all
2511,Süsteemianalüütikud,all,Kogu Eesti,M,2085,https://palgad.stat.ee/api/charts/workers_total_section/2511/2025/Q4/average/all/all/all
2511,Süsteemianalüütikud,all,Kogu Eesti,F,1767,https://palgad.stat.ee/api/charts/workers_total_section/2511/2025/Q4/average/all/all/all
2512,Tarkvaraarendajad,all,Kogu Eesti,M,8270,https://palgad.stat.ee/api/charts/workers_total_section/2512/2025/Q4/average/all/all/all
2512,Tarkvaraarendajad,all,Kogu Eesti,F,1363,https://palgad.stat.ee/api/charts/workers_total_section/2512/2025/Q4/average/all/all/all
2513,Veebi- ja multimeediaarendajad,all,Kogu Eesti,M,416,https://palgad.stat.ee/api/charts/workers_total_section/2513/2025/Q4/average/all/all/all
2513,Veebi- ja multimeediaarendajad,all,Kogu Eesti,F,156,https://palgad.stat.ee/api/charts/workers_total_section/2513/2025/Q4/average/all/all/all
2514,Rakenduste programmeerijad,all,Kogu Eesti,M,771,https://palgad.stat.ee/api/charts/workers_total_section/2514/2025/Q4/average/all/all/all
