isco4,leaf_id,leaf_name_et
3353,33530002,Sotsiaalkindlustusspetsialist
3353,33539900,Mujal liigitamata sotsiaalkindlustusametnikud   
3354,33540001,Ehituslube väljastav ametnik
3354,33540002,Tegevuslube väljastav ametnik
3354,33540003,Litsentsiametnik
3354,33540005,Patendiekspert
3354,33540006,Kaubamärgiekspert
3354,33549900,Mujal liigitamata litsentside ja lubade menetlejad
3359,33590001,Põllumajandusinspektor
3359,33590004,Hinnainspektor
3359,33590008,Päästeala spetsialist
3359,33590009,Keskkonnakaitse spetsialist
3359,33590010,Keskkonnakaitseinspektor
3359,33590011,Muinsuskaitse nõunik
3359,33590012,Vallavaraspetsialist
3359,33590013,Haljastuse spetsialist
3359,33590014,KOV järelevalvespetsialist
3359,33599900,Muud valitsuse mujal liigitamata haldusalade ametnikud
3411,34110002,Juristiabi
3411,34110003,Kinnistusregistri ametnik
3411,34110004,Kohtusekretär
3411,34110005,Kohtutäitur
3411,34110006,Äriregistri tehniline sekretär
3411,34110007,Riigihangete spetsialist
3411,34110008,Väärteomenetleja
3411,34119900,Õigusvaldkonna mujal liigitamata keskastme spetsialistid
3412,34120001,Kohaliku omavalitsuse arendustöötaja
3412,34120002,Kohaliku omavalitsuse sotsiaalteenuste spetsialist
3412,34120003,Kriisisekkumise spetsialist
3412,34120004,Puudega isikute teenuste spetsialist
3412,34120005,Pereabi teenuste spetsialist
3412,34120006,Argioskuste õpetaja
3412,34120007,Vaimse tervise ala abitöötaja
3412,34120008,Hoolekande abitöötaja
3412,34120009,Naiste varjupaiga järelevaataja
3412,34120010,Noorsooteenuste spetsialist
3412,34120011,Kasvatuspedagoog
3412,34120012,Sotsiaaltöö spetsialist
3412,34120013,Tegevusjuhendaja
3412,34120014,Õpilaskodu kasvataja (erikool)
3412,34120015,Perevanem
3412,34120016,Eestkostespetsialist
3412,34120017,Hoolekandespetsialist
3412,34120018,Lastekaitsespetsialist
3412,34120019,Tugiisikuteenuse spetsialist
3412,34120020,Usaldusisik
3412,34120022,Noorsootöö spetsialist
3412,34129900,Sotsiaaltöö mujal liigitamata keskastme spetsialistid
3413,34130002,Ilmikjutlustaja
3413,34130004,Nunn
3413,34130005,Koguduse noorsootöö tegija
3413,34130006,Pühapäevakooli õpetaja
3413,34139900,Religioonivaldkonna mujal liigitamata keskastme spetsialistid 
3421,34210001,Jalgrattur
3421,34210004,Jalgpallur
3421,34210009,Motosportlane
3421,34210010,Suusataja
3421,34210013,Kergejõustiklane
3421,34210014,Sportlane
3421,34210016,Autosportlane
3421,34210017,Curlingu mängija
3421,34210020,Korvpallur
3421,34210023,Laskesuusataja
3421,34210025,Purjetaja
3421,34210026,Ratsutaja
3421,34210032,Ujuja
3421,34219900,Mujal liigitamata sportlased
3422,34220001,Spordikohtunik
3422,34220002,Suusatamistreener
3422,34220003,Treener
3422,34220004,Spordiametnik
3422,34220005,Ujumistreener
3422,34220006,Ringijuht (sport)
3422,34220007,Spordimetoodik
3422,34229900,"Mujal liigitamata treenerid, spordiinstruktorid ja -ametnikud"
3423,34230001,Aeroobikainstruktor
3423,34230002,Ratsutamisinstruktor
3423,34230003,Tervisespordiinstruktor
3423,34230004,Purjetamisinstruktor
3423,34230005,Sukeldumisinstruktor
3423,34230006,Alpinismiinstruktor
3423,34230008,Langevarjurinstruktor
3423,34230009,Laskeinstruktor
3423,34230011,Seiklusraja giid
3423,34230012,Tervisespordi instruktor
3423,34230013,Rekreatsioonikorraldaja
3423,34239900,Mujal liigitamata tervisespordi- ja vabaajateenuste instruktorid
3431,34310001,Reklaamifotograaf
3431,34310002,Tööstusfotograaf
3431,34310003,Fotokorrespondent
3431,34310004,Fotograaf
3431,34310005,Portreefotograaf
3431,34310006,Teadusfotograaf
3431,34310007,Fotograafia osakonna meister
3432,34320001,Väljapanekute dekoraator
3432,34320002,Sisekujundaja
3432,34320003,Lavakujundaja
3432,34320004,Toodete väljapaneku spetsialist
3432,34320005,Vaateakende dekoraator
3432,34329900,Mujal liigitamata sisekujundajad ja dekoraatorid
3433,34330001,Galeriitehnik
3433,34330002,Raamatukogutehnik
3433,34330003,Muuseumitehnik
3433,34330004,Taksidermist
3433,34339900,"Muud galeriide, muuseumide ja raamatukogude mujal liigitamata tehnilised töötajad"
3434,34340001,Peakokk
3434,34340002,Toitlustusjuht
3434,34340003,Toitlustuskompleksi juhataja
3434,34340004,Vanemkokk
3434,34349900,Mujal liigitamata peakokad   
3435,34350001,Kehamaalija
3435,34350002,Valgustehnik
3435,34350003,Programmikoordinaator (ringhääling)
3435,34350005,Rekvisiitor
3435,34350006,Eriefektide tehnik
3435,34350007,Lavameister
3435,34350008,Lavatehnik
3435,34350011,Tätoveerija
3435,34350012,Teatritehnik
3435,34350013,Teatri kostümeerija
3435,34350014,Režissööri assistent (ringhääling)
3435,34350015,Teatrikunstnik
3435,34359900,Muud kunsti- ja kultuurivaldkonna mujal liigitamata keskastme spetsialistid
3511,35110001,Arvutioperaator
3511,35110002,Arvuti välisseadmete operaator
3511,35110003,Arvutiga juhitavate kiirtrükiseadmete operaator
3511,35119900,Mujal liigitamata IKT operaatorid  
3512,35120001,Sideassistent (IKT)
3512,35120002,Arvutiandmebaasi assistent
3512,35120003,Arvuti kasutajatoe operaator
3512,35120004,Programmeerimisassistent
3512,35120005,Arvuti süsteemianalüüsi assistent
3512,35120006,Arvutihooldusspetsialist
3512,35120007,IT kasutajatoe spetsialist
3512,35129900,Mujal liigitamata IKT kasutajatoe tehnikud
3513,35130001,Arvutivõrgu tehnik
3513,35130002,Võrgutoe tehnik
3513,35130003,Arvutivõrgu administraator
3513,35130004,Süsteemiadministraator
3513,35139900,Mujal liigitamata arvutivõrkude ja -süsteemide tehnikud
3514,35140001,Veebmeister
3514,35140002,Veebisaidi haldur
3514,35140003,Veebisaidi tehnik
3514,35149900,Mujal liigitamata veebitehnikud
3521,35210001,Audiovisuaaloperaator
3521,35210002,Ringhäälinguseadmete operaator
3521,35210003,Ringhäälingutehnik
3521,35210004,Filmioperaator
3521,35210005,Videooperaator
3521,35210006,Tootmisjuht (meedia)
3521,35210007,Helikujundaja
3521,35210008,Helioperaator
3521,35210009,Helirežissöör
3521,35210010,Helitehnik
3521,35210011,Helitoimetaja
3521,35210013,Televisioonioperaator
3521,35210014,Valgustustehnik
3521,35210015,Videotehnik
3521,35210016,Montaažirežissöör
3521,35219900,Mujal liigitamata audiovisuaal- ja ringhäälingutehnikud 
3522,35220001,Sidetehnik
3522,35220002,Kaugside operaator
3522,35220003,Laeva raadiotehnik
3522,35220006,Raadionavigatsiooni tehnik
3522,35220007,Satelliitside tehnik
3522,35220008,Side elektrotehnik-mehaanik
3522,35220009,Sidedispetšer
3522,35220010,Telefonitehnik
3522,35220011,Televisioonitehnik
3522,35220012,Teleülekandeoperaator
3522,35229900,Mujal liigitamata telekommunikatsioonitehnikud   
