isco4,name_et
5163,Surnumatjad ja lahkunute korrastajad
5164,Lemmikloomade hooldajad
5165,Sõiduõpetajad
5169,"Isikuteenindajad, mujal liigitamata"
5211,Kioski- ja turumüüjad
5212,Toidu välimüüjad
5221,Väikepoepidajad
5222,Müüjate vahetusevanemad
5223,Poemüüjad
5230,Kassapidajad ja piletimüüjad
5241,Rõiva- jm modellid
5242,Tootetutvustajad
5243,Lävemüüjad
5244,Telefonimüügi agendid
5245,Tanklatöötajad
5246,Toitlustuse letitöötajad
5249,"Müügitöötajad, mujal liigitamata"
5311,Lapsehoidjad
5312,Õpetajaabid
5321,Tervishoiu- ja hoolekandeasutuste hooldustöötajad
5322,Koduhooldustöötajad
5329,"Tervishoiu hooldustöötajad, mujal liigitamata"
5413,Vangivalvurid
5414,Turvatöötajad
5419,"Turvatöötajad, mujal liigitamata"
6111,Põllusaaduste ja köögiviljakasvatajad
6112,Puuvilja- ja marjakasvatajad
6113,"Aednikud, puukooli töötajad ja istikukasvatajad"
6114,Eri põllukultuuride kasvatajad
6121,Loomakasvatajad
6122,Linnukasvatajad
6123,Mesinikud ja siidiussikasvatajad
6129,"Loomakasvatuse oskustöölised, mujal liigitamata"
6130,Segapõllumajanduse oskustöölised
6210,Metsanduse jms oskustöölised
6221,Vesiviljeluse oskustöölised
6222,Sisevete- ja rannapüügikalurid
6223,Avamerekalurid
6224,Jahimehed ja karusnahakütid
6310,Oma tarbeks taimekasvatusega tegelevad talunikud
6320,Oma tarbeks loomakasvatusega tegelevad talunikud
6330,Oma tarbeks segapõllumajandusega tegelevad talunikud
6340,"Oma tarbeks kalapüügi, jahi ja metsasaaduste korjamisega tegelejad"
7111,Üldehitajad
7112,Müürsepad jms töölised
7113,"Kiviraidurid, -tahujad jms töölised"
7114,"Betoneerijad, betoonpindade viimistlejad jms töölised"
7115,Puusepad
7119,"Üldehitustöölised, mujal liigitamata"
7121,Katusekatjad
7122,Põrandategijad ja plaatijad
7123,Krohvijad
7124,Isoleerijad
7125,Klaasijad
7126,Torulukksepad
7127,Kliima- ja külmutusseadmete mehaanikud
7131,Ehitusmaalrid jms töölised
7132,Pihustusseadmetega värvijad-lakkijad
7133,Ehitustarindite puhastajad
7211,Valuvormide ja kärnide valmistajad
7212,Keevitajad ja leeklõikajad
7213,Lehtmetallitöölised
7214,Metallkonstruktsioonide valmistajad ja monteerijad
7215,Troppijad ja trossijätkajad
7221,"Sepad, stantsijad jms oskustöölised"
7222,Tööriistavalmistajad jms töölised
7223,Metallitöötluspinkide seadistajad ja operaatorid
7224,"Metallilihvijad, -poleerijad ja tööriistateritajad"
7231,Mootorsõidukimehaanikud ja -lukksepad
7232,Õhusõidukimehaanikud ja -lukksepad
7233,Põllumajandus- ja tööstusmasinate mehaanikud ning lukksepad
7234,Jalgrataste jms sõidukite mehaanikud
7311,Täppisinstrumentide valmistajad ja parandajad
7312,Pillimeistrid ja -häälestajad
7313,Juveeli- ja väärismetallitöötlejad
7314,Savi- ja portselanimeistrid
7315,"Klaasipuhujad, -lõikajad, -lihvijad ja -viimistlejad"
7316,"Klaasi, keraamika jms materjalide dekoratiivmaalijad, graveerijad ja söövitajad"
7317,"Puidust, punumis- jm materjalidest tooteid valmistavad käsitöömeistrid"
7318,"Tekstiil-, nahk- jms tooteid valmistavad käsitöömeistrid"
7319,"Käsitöömeistrid, mujal liigitamata"
7321,Trükiettevalmistajad
7322,Trükkalid
7323,Trükiste järeltöötlejad
7411,Ehituselektrikud
7412,Elektriseadmete mehaanikud ja paigaldajad
7413,Elektriliinide paigaldajad ja hooldajad
7421,Elektroonikaseadmete mehaanikud ja hooldajad
7422,IKT-seadmete paigaldajad ja hooldajad
7511,"Lihatöötlejad, kalakäitlejad jms töölised"
7512,"Pagarid, kondiitrid ja maiustuste valmistajad"
7513,Piimatöötlejad
7514,Puu- ja köögivilja ning marjade töötlejad
7515,Toidu ja jookide degusteerijad ja hindajad
7521,Puidutöötlejad
7522,Tislerid jms töölised
7523,Puidutöötluspinkide seadistajad ja operaatorid
7531,"Rätsepad, köösnerid ja kübarategijad"
7532,Rõiva- jms lekaalide valmistajad ning juurdelõikajad
7533,"Õmblejad, tikkijad jms töölised"
7534,Polsterdajad jms töölised
7535,Toorkarusnaha ettevalmistajad ja parkalid
7536,Kingsepad jms töölised
7541,Allveetöötajad
7542,Lõhkajad ja õhkijad
7543,Toodete (v.a toidud ja joogid) testijad
7544,Kahjuri- ja umbrohutõrjujad
7549,"Oskus- ja käsitöölised, mujal liigitamata"
8111,"Kaevurid ja karjääritöölised, mäeseadmete operaatorid"
8112,Maavarade rikastamise seadmete ja kivitöötlusmasinate operaatorid
8113,Puurseadmete operaatorid
8114,"Tsement-, kivi- jm mineraalsete toodete masinate operaatorid"
8121,Metallitootmisseadmete operaatorid
8122,Metallitöötlusmasinate operaatorid
8131,Keemiatoodete seadmete ja masinate operaatorid
8132,Fotograafiatoodete masinate operaatorid
8141,Kummitoodete masinate operaatorid
8142,Plasttoodete masinate operaatorid
8143,Pabertoodete masinate operaatorid
8151,"Ettevalmistus-, ketrus- ja poolimismasinate operaatorid"
8152,Kudumismasinate operaatorid
8153,Masinõmblejad
8154,"Pleegitus-, värvimis- ja puhastusmasinate operaatorid"
8155,Karusnaha ja naha ettevalmistusmasinate operaatorid
8156,Jalatsitootmis- jms masinate operaatorid
8157,Pesumasinate operaatorid
8159,"Tekstiil-, karusnahk- ja nahktoodete masinate operaatorid, mujal liigitamata"
8160,Toiduainete jms toodete masinate operaatorid
8171,Tselluloosi- ja paberitootmisseadmete operaatorid
8172,Puidutöötlemisseadmete operaatorid
8181,Klaasi- ja keraamikaahjude jms seadmete operaatorid
8182,Aurumasinate ja -katelde operaatorid
8183,"Pakke-, villimis- ja märgistusseadmete operaatorid"
8189,"Seadme- ja masinaoperaatorid, mujal liigitamata"
8211,Mehaaniliste seadmete koostajad
8212,Elektri- ja elektroonikaseadmete koostajad
8219,"Koostajad, mujal liigitamata"
8311,Veduri- ja rongijuhid
8312,Raudtee liiklustöötajad
8321,Mootorrattajuhid
8322,"Sõiduauto-, takso- ja pakiautojuhid"
8331,Bussi- ja trammijuhid
8332,Veoautojuhid
8341,Põllu- ja metsamasinate juhid
8342,"Maaparandus-, tee- jms masinate juhid"
8343,"Kraana-, tõstuki- jm tõsteseadmete juhid"
8344,Kahveltõstukite jms masinate juhid
8350,Laeva tekimeeskond jms töötajad
9111,Kodukoristajad ja -abilised
9112,"Koristajad ja abilised kontoris, hotellis jms asutustes"
9121,Pesupesijad ja triikijad
9122,Sõidukite käsipesijad
9123,Aknapesijad
9129,Muid puhastustöid tegevad lihttöölised
9211,Taimekasvatuse lihttöölised
9212,Loomakasvatuse lihttöölised
9213,Segapõllumajanduse lihttöölised
9214,Aianduse lihttöölised
9215,Metsanduse lihttöölised
9216,Kalapüügi ja vesiviljeluse lihttöölised
9311,Mäetööstuse lihttöölised
9312,Rajatiste ehituse lihttöölised
9313,Hooneehituse lihttöölised
9321,Pakkijad
9329,"Töötleva tööstuse lihttöölised, mujal liigitamata"
9331,Käsi- ja pedaalsõidukijuhid
9332,Loomveokijuhid
9333,Transporditöölised ja laadijad
9334,Kaubaladujad
9411,Kiirtoitlustuse abitöölised
9412,Köögiabilised
9510,Tänaval jms kohtades teenuse osutajad
9520,Välimüüjad (v.a toidu- ja joogimüüjad)
9611,Jäätmekogujad ja -laadijad
9612,Jäätmesortijad
9613,"Välikoristajad, tootmishoonete koristajad jms lihttöölised"
9621,"Käskjalad, pakkide kättetoimetajad ja pakikandjad"
9622,Halduse abitöölised
9623,Arvestikontrolörid ning müügi- ja parkimisautomaatide rahakogujad
9624,Vee ja küttepuude kogujad
9629,"Lihttöölised, mujal liigitamata"
