from_taxonomy,from_code,to_taxonomy,to_code,weight
isco3,011,isco2,01,1.0
isco3,021,isco2,02,1.0
isco3,031,isco2,03,1.0
isco3,111,isco2,11,0.5
isco3,112,isco2,11,0.5
isco3,121,isco2,12,0.5
isco3,122,isco2,12,0.5
isco3,131,isco2,13,0.25
isco3,132,isco2,13,0.25
isco3,133,isco2,13,0.25
isco3,134,isco2,13,0.25
isco3,141,isco2,14,0.3333333333333333
isco3,142,isco2,14,0.3333333333333333
isco3,143,isco2,14,0.3333333333333333
isco3,211,isco2,21,0.16666666666666666
isco3,212,isco2,21,0.16666666666666666
isco3,213,isco2,21,0.16666666666666666
isco3,214,isco2,21,0.16666666666666666
isco3,215,isco2,21,0.16666666666666666
isco3,216,isco2,21,0.16666666666666666
isco3,221,isco2,22,0.16666666666666666
isco3,222,isco2,22,0.16666666666666666
isco3,223,isco2,22,0.16666666666666666
isco3,224,isco2,22,0.16666666666666666
isco3,225,isco2,22,0.16666666666666666
isco3,226,isco2,22,0.16666666666666666
isco3,231,isco2,23,0.2
isco3,232,isco2,23,0.2
isco3,233,isco2,23,0.2
isco3,234,isco2,23,0.2
isco3,235,isco2,23,0.2
isco3,241,isco2,24,0.3333333333333333
isco3,242,isco2,24,0.3333333333333333
isco3,243,isco2,24,0.3333333333333333
isco3,251,isco2,25,0.5
isco3,252,isco2,25,0.5
isco3,261,isco2,26,0.2
isco3,262,isco2,26,0.2
isco3,263,isco2,26,0.2
isco3,264,isco2,26,0.2
isco3,265,isco2,26,0.2
isco3,311,isco2,31,0.2
isco3,312,isco2,31,0.2
isco3,313,isco2,31,0.2
isco3,314,isco2,31,0.2
isco3,315,isco2,31,0.2
isco3,321,isco2,32,0.2
isco3,322,isco2,32,0.2
isco3,323,isco2,32,0.2
isco3,324,isco2,32,0.2
isco3,325,isco2,32,0.2
isco3,331,isco2,33,0.2
isco3,332,isco2,33,0.2
isco3,333,isco2,33,0.2
isco3,334,isco2,33,0.2
isco3,335,isco2,33,0.2
isco3,341,isco2,34,0.3333333333333333
isco3,342,isco2,34,0.3333333333333333
isco3,343,isco2,34,0.3333333333333333
isco3,351,isco2,35,0.5
isco3,352,isco2,35,0.5
isco3,411,isco2,41,0.3333333333333333
isco3,412,isco2,41,0.3333333333333333
isco3,413,isco2,41,0.3333333333333333
isco3,421,isco2,42,0.5
isco3,422,isco2,42,0.5
isco3,431,isco2,43,0.5
isco3,432,isco2,43,0.5
isco3,441,isco2,44,1.0
isco3,511,isco2,51,0.16666666666666666
isco3,512,isco2,51,0.16666666666666666
isco3,513,isco2,51,0.16666666666666666
isco3,514,isco2,51,0.16666666666666666
isco3,515,isco2,51,0.16666666666666666
isco3,516,isco2,51,0.16666666666666666
isco3,521,isco2,52,0.25
isco3,522,isco2,52,0.25
isco3,523,isco2,52,0.25
isco3,524,isco2,52,0.25
isco3,531,isco2,53,0.5
isco3,532,isco2,53,0.5
isco3,541,isco2,54,1.0
isco3,611,isco2,61,0.3333333333333333
isco3,612,isco2,61,0.3333333333333333
isco3,613,isco2,61,0.3333333333333333
isco3,621,isco2,62,0.5
isco3,622,isco2,62,0.5
isco3,631,isco2,63,0.25
isco3,632,isco2,63,0.25
isco3,633,isco2,63,0.25
isco3,634,isco2,63,0.25
isco3,711,isco2,71,0.3333333333333333
isco3,712,isco2,71,0.3333333333333333
isco3,713,isco2,71,0.3333333333333333
isco3,721,isco2,72,0.3333333333333333
isco3,722,isco2,72,0.3333333333333333
isco3,723,isco2,72,0.3333333333333333
isco3,731,isco2,73,0.5
isco3,732,isco2,73,0.5
isco3,741,isco2,74,0.5
isco3,742,isco2,74,0.5
isco3,751,isco2,75,0.25
isco3,752,isco2,75,0.25
isco3,753,isco2,75,0.25
isco3,754,isco2,75,0.25
isco3,811,isco2,81,0.125
isco3,812,isco2,81,0.125
isco3,813,isco2,81,0.125
isco3,814,isco2,81,0.125
isco3,815,isco2,81,0.125
isco3,816,isco2,81,0.125
isco3,817,isco2,81,0.125
isco3,818,isco2,81,0.125
isco3,821,isco2,82,1.0
isco3,831,isco2,83,0.2
isco3,832,isco2,83,0.2
isco3,833,isco2,83,0.2
isco3,834,isco2,83,0.2
isco3,835,isco2,83,0.2
isco3,911,isco2,91,0.5
isco3,912,isco2,91,0.5
isco3,921,isco2,92,1.0
isco3,931,isco2,93,0.3333333333333333
isco3,932,isco2,93,0.3333333333333333
isco3,933,isco2,93,0.3333333333333333
isco3,941,isco2,94,1.0
isco3,951,isco2,95,0.5
isco3,952,isco2,95,0.5
isco3,961,isco2,96,0.5
isco3,962,isco2,96,0.5
