from_taxonomy,from_code,to_taxonomy,to_code,weight
isco4,8181,isco2,81,0.038461538461538464
isco4,8182,isco2,81,0.038461538461538464
isco4,8183,isco2,81,0.038461538461538464
isco4,8189,isco2,81,0.038461538461538464
isco4,8211,isco2,82,0.3333333333333333
isco4,8212,isco2,82,0.3333333333333333
isco4,8219,isco2,82,0.3333333333333333
isco4,8311,isco2,83,0.09090909090909091
isco4,8312,isco2,83,0.09090909090909091
isco4,8321,isco2,83,0.09090909090909091
isco4,8322,isco2,83,0.09090909090909091
isco4,8331,isco2,83,0.09090909090909091
isco4,8332,isco2,83,0.09090909090909091
isco4,8341,isco2,83,0.09090909090909091
isco4,8342,isco2,83,0.09090909090909091
isco4,8343,isco2,83,0.09090909090909091
isco4,8344,isco2,83,0.09090909090909091
isco4,8350,isco2,83,0.09090909090909091
isco4,9111,isco2,91,0.16666666666666666
isco4,9112,isco2,91,0.16666666666666666
isco4,9121,isco2,91,0.16666666666666666
isco4,9122,isco2,91,0.16666666666666666
isco4,9123,isco2,91,0.16666666666666666
isco4,9129,isco2,91,0.16666666666666666
isco4,9211,isco2,92,0.16666666666666666
isco4,9212,isco2,92,0.16666666666666666
isco4,9213,isco2,92,0.16666666666666666
isco4,9214,isco2,92,0.16666666666666666
isco4,9215,isco2,92,0.16666666666666666
isco4,9216,isco2,92,0.16666666666666666
isco4,9311,isco2,93,0.1111111111111111
isco4,9312,isco2,93,0.1111111111111111
isco4,9313,isco2,93,0.1111111111111111
isco4,9321,isco2,93,0.1111111111111111
isco4,9329,isco2,93,0.1111111111111111
isco4,9331,isco2,93,0.1111111111111111
isco4,9332,isco2,93,0.1111111111111111
isco4,9333,isco2,93,0.1111111111111111
isco4,9334,isco2,93,0.1111111111111111
isco4,9411,isco2,94,0.5
isco4,9412,isco2,94,0.5
isco4,9510,isco2,95,0.5
isco4,9520,isco2,95,0.5
isco4,9611,isco2,96,0.125
isco4,9612,isco2,96,0.125
isco4,9613,isco2,96,0.125
isco4,9621,isco2,96,0.125
isco4,9622,isco2,96,0.125
isco4,9623,isco2,96,0.125
isco4,9624,isco2,96,0.125
isco4,9629,isco2,96,0.125
